city,county,district,grades,number_alt_schools,number_elementary_schools,number_high_schools,number_middle_schools,rank,rank_2016,rank_change,rank_score_2017,sd_rating
Elma,Erie,Iroquois Central School District,K-12,0,3,1,2,128th,99,29,0.829,4
Vestal,Broome,Vestal Central School District,K-12,0,5,1,1,129th,139,10,0.828,4
Cutchogue,Suffolk,Mattituck-Cutchogue Union Free School District,K-12,0,1,1,0,130th,81,49,0.827,4
Hamburg,Erie,Hamburg Central School District,"PK, KG-12",0,4,1,1,131st,85,46,0.827,4
East Northport,Suffolk,Commack Union Free School District,K-12,0,6,1,1,132nd,104,28,0.827,4
Rhinebeck,Dutchess,Rhinebeck Central School District,K-12,0,1,1,1,133rd,146,13,0.826,4
Shoreham,Suffolk,Shoreham-Wading River Central School District,K-12,0,2,1,1,134th,141,7,0.824,4
Bemus Point,Chautauqua,Bemus Point Central School District,"PK, KG-12",1,1,0,0,135th,166,31,0.822,4
Poughkeepsie,Dutchess,Spackenkill Union Free School District,K-12,0,2,1,1,136th,126,10,0.819,4
Seaford,Nassau,Seaford Union Free School District,K-12,0,2,1,1,137th,131,6,0.818,4
N Massapequa,Nassau,Plainedge Union Free School District,K-12,0,3,1,1,138th,175,37,0.818,4
Bronx,Bronx,Bronx Charter School For The Arts,K-6,0,1,0,0,139th,154,15,0.816,4
Lake George,Warren,Lake George Central School District,K-12,0,1,1,0,140th,165,25,0.815,4
Hamilton,Madison,Hamilton Central School District,"PK, KG-12",1,1,0,0,141st,106,35,0.812,4
New Hartford,Oneida,New Hartford Central School District,K-12,1,3,1,0,142nd,147,5,0.809,4
Brooklyn,Kings,Achievement First Apollo Charter School,K-7,0,1,0,0,143rd,315,172,0.808,4
Akron,Erie,Akron Central School District,K-12,0,1,1,1,144th,132,12,0.807,4
Bronx,Bronx,Bronx Charter School For Better Learning,"PK, KG-5",0,1,0,0,145th,313,168,0.805,4
Port Washington,Nassau,Port Washington Union Free School District,"PK, KG-12",0,5,1,1,146th,134,12,0.804,4
Brooklyn,Kings,Beginning With Children Charter School II,K-5,0,1,0,0,147th,116,31,0.804,4
Brooklyn,Kings,Ocean Hill Collegiate Charter School,5-8,0,0,0,1,148th,163,15,0.801,4
Astoria,Queens,Our World Neighborhood Charter School,K-8,0,1,0,0,149th,239,90,0.801,4
Lynbrook,Nassau,Lynbrook Union Free School District,K-12,0,4,1,2,150th,137,13,0.8,4
Brooklyn,Kings,Achievement First Aspire Charter School,K-4,0,1,0,0,151st,,(n/a),0.8,4
Oyster Bay,Nassau,Oyster Bay-East Norwich Central School District,"PK, KG-12",0,2,1,0,152nd,157,5,0.8,4
Thornwood,Westchester,Mount Pleasant Central School District,K-12,0,2,1,1,153rd,172,19,0.798,4
Levittown,Nassau,Island Trees Union Free School District,K-12,0,2,1,1,154th,202,48,0.797,4
Westhampton Beach,Suffolk,Westhampton Beach Union Free School District,K-12,0,1,1,1,155th,185,30,0.797,4
Babylon,Suffolk,Babylon Union Free School District,K-12,0,2,1,0,156th,118,38,0.797,4
Northport,Suffolk,Northport-East Northport Union Free School District,K-12,0,6,1,2,157th,142,15,0.793,4
Kings Park,Suffolk,Kings Park Central School District,K-12,0,3,1,1,158th,78,80,0.791,4
New York,New York,Girls Preparatory Charter School Of New York,K-8,0,1,0,0,159th,182,23,0.79,4
Caledonia,Livingston,Caledonia-Mumford Central School District,"PK, KG-12",0,1,1,1,160th,125,35,0.789,4
West Seneca,Erie,Orchard Park Central School District,K-12,0,4,1,1,161st,129,32,0.786,4
Averill Park,Rensselaer,Averill Park Central School District,K-12,0,3,1,1,162nd,128,34,0.784,4
Bronx,Bronx,Academic Leadership Charter School,"PK, KG-8",0,1,0,0,163rd,136,27,0.782,4
Fairport,Monroe,Fairport Central School District,K-12,1,4,1,2,164th,122,42,0.782,4
Bronx,Bronx,Children's Aid College Preparatory Charter School,K-5,0,1,0,0,165th,113,52,0.782,4
Ellicottville,Cattaraugus,Ellicottville Central School District,"PK, KG-12",1,1,0,0,166th,218,52,0.781,4
Franklin Square,Nassau,Franklin Square Union Free School District,"PK, KG-6",0,3,0,0,167th,159,8,0.781,4
Valley Stream,Nassau,Valley Stream 30 Union Free School District,K-6,0,3,0,0,168th,140,28,0.779,4
Hillburn,Rockland,Ramapo Central School District (Suffern),K-12,0,5,1,1,169th,170,1,0.779,4
Eden,Erie,Eden Central School District,"PK, KG-12",0,2,1,0,170th,168,2,0.777,4
Somers,Westchester,Somers Central School District,K-12,0,2,1,1,171st,120,51,0.777,4
Brooklyn,Kings,Excellence Boys Charter School Of Bedford Stuyvesant,K-8,0,1,0,0,172nd,213,41,0.776,4
Delhi,Delaware,Delaware Academy Central School District At Delhi,K-12,1,1,0,0,173rd,233,60,0.774,4
Guilderland Center,Albany,Guilderland Central School District,K-12,0,5,1,1,174th,111,63,0.772,4
Whitesboro,Oneida,Whitesboro Central School District,K-12,0,4,1,2,175th,200,25,0.771,4
Carle Place,Nassau,Carle Place Union Free School District,K-12,0,2,1,0,176th,152,24,0.77,4
Panama,Chautauqua,Panama Central School District,"PK, KG-12",0,1,1,0,177th,186,9,0.77,4
Red Hook,Dutchess,Red Hook Central School District,"PK, KG-12",0,2,1,1,178th,121,57,0.77,4
New City,Rockland,Clarkstown Central School District,K-12,1,9,3,3,179th,133,46,0.769,4
Spencerport,Monroe,Spencerport Central School District,K-12,0,4,1,1,180th,91,89,0.769,4
Brooklyn,Kings,Bedford Stuyvesant Collegiate Charter School,5-8,0,0,0,1,181st,240,59,0.766,4
Brooklyn,Kings,Leadership Preparatory Brownsville Charter School,K-8,0,1,0,0,182nd,176,6,0.765,4
Canandaigua,Ontario,Canandaigua City School District,"PK, KG-12",0,1,1,1,183rd,148,35,0.761,4
Union Springs,Cayuga,Union Springs Central School District,"PK, KG-12",0,2,1,1,184th,167,17,0.759,4
Valley Stream,Nassau,Valley Stream Central High School District,7-12,1,0,3,0,185th,212,27,0.758,4
Sayville,Suffolk,Sayville Union Free School District,K-12,0,3,1,1,186th,144,42,0.758,4
Beaver Falls,Lewis,Beaver River Central School District,"PK, KG-12",0,1,1,1,187th,211,24,0.754,4
Montauk,Suffolk,Montauk Union Free School District,"PK, KG-8",0,1,0,0,188th,249,61,0.753,4
Jeffersonville,Sullivan,Sullivan West Central School District,"PK, KG-12",0,1,1,0,189th,174,15,0.753,4
Geneseo,Livingston,Geneseo Central School District,K-12,1,1,0,0,190th,153,37,0.752,4
Valley Stream,Nassau,Valley Stream 24 Union Free School District,K-6,0,3,0,0,191st,138,53,0.751,4
Buffalo,Erie,Elmwood Village Charter School,K-8,0,1,0,0,192nd,243,51,0.75,4
East Rochester,Monroe,East Rochester Union Free School District,"PK, KG-12",1,1,0,0,193rd,221,28,0.749,4
Grand Island,Erie,Grand Island Central School District,"PK, KG-12",0,3,1,1,194th,177,17,0.749,4
Floral Park,Nassau,Sewanhaka Central High School District,7-12,0,0,5,0,195th,164,31,0.749,4
Queensbury,Warren,Queensbury Union Free School District,K-12,0,2,1,1,196th,214,18,0.748,4
Almond,Allegany,Alfred-Almond Central School District,"PK, KG-12",0,1,1,0,197th,238,41,0.748,4
Bronx,Bronx,Icahn Charter School 1,K-8,0,1,0,0,198th,96,102,0.748,4
Albany,Albany,KIPP Technical Valley Charter School,5-8,0,0,0,1,199th,156,43,0.748,4
Pawling,Dutchess,Pawling Central School District,K-12,0,1,1,1,200th,247,47,0.747,4
Endwell,Broome,Maine-Endwell Central School District,"PK, KG-12",0,2,1,1,201st,237,36,0.746,4
Sag Harbor,Suffolk,Sag Harbor Union Free School District,"PK, KG-12",1,1,0,0,202nd,173,29,0.745,4
Oceanside,Nassau,Oceanside Union Free School District,K-12,0,7,2,1,203rd,180,23,0.745,4
Bayport,Suffolk,Bayport-Blue Point Union Free School District,K-12,0,3,1,1,204th,162,42,0.745,4
Henrietta,Monroe,Rush-Henrietta Central School District,"PK, KG-12",1,5,1,2,205th,253,48,0.744,4
Canton,St. Lawrence,Canton Central School District,"PK, KG-12",1,1,1,1,206th,197,9,0.742,4
