ownertype,borough,schooldist,zipcode,address,xcoord,ycoord,buildingclassatpresent,saleprice,saledate
P,MN,6,10031,501 WEST 143 STREET,998383,239616,D4,0,2017-10-19
P,MN,6,10031,501 WEST 143 STREET,998383,239616,D4,0,2017-06-30
P,MN,6,10031,501 WEST 143 STREET,998383,239616,D4,0,2017-10-19
P,MN,6,10031,501 WEST 143 STREET,998383,239616,D4,0,2018-01-11
P,MN,6,10031,501 WEST 143 STREET,998383,239616,D4,350000,2017-08-01
P,MN,6,10031,501 WEST 143 STREET,998383,239616,D4,430000,2018-04-23
P,MN,5,10027,3291 BROADWAY,996266,237596,D7,7630400,2017-07-06
 ,MN,6,10034,624 WEST 207 STREET,1005872,255525,C6,4180000,2018-03-29
 ,MN,6,10034,48 PARK TERRACE EAST,1007349,256317,D4,741585,2018-01-25
 ,MN,6,10034,48 PARK TERRACE EAST,1007349,256317,D4,355000,2018-03-27
 ,MN,6,10034,48 PARK TERRACE EAST,1007349,256317,D4,735000,2018-05-23
 ,MN,6,10034,251 SEAMAN AVENUE,1006977,256866,D4,823884,2018-04-16
 ,MN,6,10034,48 PARK TERRACE EAST,1007349,256317,D4,300000,2017-12-14
 ,MN,6,10034,48 PARK TERRACE EAST,1007349,256317,D4,380000,2018-02-27
 ,MN,6,10034,48 PARK TERRACE EAST,1007349,256317,D4,800000,2017-06-20
P,MN,1,10002,530 GRAND STREET,989641,199688,D4,1075000,2018-02-15
P,MN,2,10002,357 GRAND STREET,987555,199917,D4,1025000,2017-06-07
 ,MN,1,10002,409 GRAND STREET,988158,199791,D4,0,2018-02-17
 ,MN,1,10002,409 GRAND STREET,988158,199791,D4,723000,2017-10-11
P,MN,1,10002,530 GRAND STREET,989641,199688,D4,409000,2017-08-09
 ,MN,1,10002,409 GRAND STREET,988158,199791,D4,1150000,2017-11-06
P,MN,2,10002,357 GRAND STREET,987555,199917,D4,0,2018-02-21
P,MN,2,10002,357 GRAND STREET,987555,199917,D4,1088000,2018-05-04
P,MN,1,10002,453 F D R DRIVE,990076,199024,D4,800000,2017-12-14
P,MN,1,10002,453 F D R DRIVE,990076,199024,D4,625000,2017-12-18
P,MN,1,10002,453 F D R DRIVE,990076,199024,D4,635000,2017-08-02
P,MN,1,10002,453 F D R DRIVE,990076,199024,D4,629000,2017-06-20
P,MN,1,10002,530 GRAND STREET,989641,199688,D4,0,2018-05-10
P,MN,1,10002,453 F D R DRIVE,990076,199024,D4,680000,2017-10-10
 ,MN,1,10002,409 GRAND STREET,988158,199791,D4,990000,2018-03-09
P,MN,1,10002,453 F D R DRIVE,990076,199024,D4,957000,2017-11-14
P,MN,2,10002,357 GRAND STREET,987555,199917,D4,1335000,2018-05-30
P,MN,1,10002,530 GRAND STREET,989641,199688,D4,890000,2018-04-13
P,MN,1,10002,530 GRAND STREET,989641,199688,D4,770000,2017-12-12
 ,MN,1,10002,409 GRAND STREET,988158,199791,D4,832500,2018-05-07
P,MN,2,10002,357 GRAND STREET,987555,199917,D4,715000,2018-03-07
P,MN,2,10002,357 GRAND STREET,987555,199917,D4,0,2017-11-12
P,MN,1,10002,530 GRAND STREET,989641,199688,D4,1650000,2018-05-02
P,MN,1,10002,570 GRAND STREET,990244,199524,D4,1150000,2017-07-10
 ,MN,1,10002,409 GRAND STREET,988158,199791,D4,835000,2017-10-20
 ,MN,1,10002,409 GRAND STREET,988158,199791,D4,745000,2017-09-01
 ,MN,1,10002,409 GRAND STREET,988158,199791,D4,0,2017-09-27
P,MN,1,10002,570 GRAND STREET,990244,199524,D4,814000,2017-08-24
